
p:0.028 t1:1.12222 t2:13.6669
p:0.042 t1:1.21107 t2:13.6899
p:0.0586667 t1:1.31573 t2:13.6922
p:0.078 t1:1.4543 t2:13.6905
p:0.1 t1:1.62048 t2:13.6896
p:0.124667 t1:1.76332 t2:13.6946
p:0.152 t1:2.02958 t2:13.6992
p:0.182 t1:2.27182 t2:13.7034
p:0.214667 t1:2.4907 t2:13.7571
p:0.25 t1:2.63691 t2:13.7153
p:0.288 t1:2.81491 t2:13.7628
p:0.328667 t1:2.9864 t2:13.7155
p:0.372 t1:3.40678 t2:13.7198
p:0.418 t1:3.72239 t2:13.7347
p:0.466667 t1:4.04763 t2:13.7398
p:0.518 t1:4.40573 t2:13.7332
p:0.572 t1:4.78694 t2:13.7443
p:0.628667 t1:5.16033 t2:13.7466
p:0.688 t1:5.57375 t2:13.762
p:0.75 t1:6.00274 t2:13.7718
p:0.814667 t1:6.39753 t2:13.7664
p:0.882 t1:8.34623 t2:13.7839
p:0.952 t1:6.79734 t2:13.7822
p:1.02467 t1:7.10063 t2:13.7842
p:1.1 t1:7.34772 t2:13.7871

